np,genus,maj_vote,logprobs,agreement,assoc_strength_mean,m,w,n
Lehrkraft,F,m,9.0504549363759,1.0,3.96875,33,0,0
Autorität,F,m,1.3713946613570442,1.0,4.0,33,0,0
Hauptfigur,F,m,2.725483794871252,1.0,4.0,33,0,0
Berühmtheit,F,m,1.5526201660723018,1.0,4.0,33,0,0
Fachkraft,F,m,1.6990163521186332,1.0,3.1818181818181817,33,0,0
Kultfigur,F,m,2.53361692389808,1.0,4.0,33,0,0
Begleitung,F,m,3.163498691723362,1.0,4.0,33,0,0
Assistenz,F,m,2.685957612913626,1.0,4.0,33,0,0
Diva,F,w,3.737185422989569,1.0,4.0,0,33,0
Boss,M,m,0.861697555246792,1.0,4.0,33,0,0
Fuchs,M,m,1.2402371690186555,1.0,4.0,33,0,0
Jockey,M,m,0.8052924586190784,1.0,4.0,33,0,0
Junkie,M,m,1.2006956337572774,1.0,4.0,33,0,0
Racker,M,m,2.1457152381481137,1.0,4.0,33,0,0
Spaßvogel,M,m,0.94511173241699,1.0,4.0,33,0,0
Vormund,M,m,1.5441840734201833,1.0,4.0,33,0,0
Vorstand,M,m,1.928502085918808,1.0,4.0,33,0,0
Passagier,M,m,1.982391268320498,1.0,4.0,33,0,0
Schatz,M,m,3.438596247957321,1.0,4.0,33,0,0
Star,M,m,1.3778335021270323,1.0,4.0,33,0,0
Babysitter,M,w,3.5701933310265304,1.0,4.0,0,33,0
Trotzkopf,M,m,1.296451642021566,1.0,4.0,33,0,0
Mündel,N/M/F,m,3.957220081199921,1.0,4.0,33,0,0
Balg,N/M,m,2.3546950229683716,1.0,4.0,33,0,0
Nesthäkchen,N,w,7.957780624792576,1.0,4.0,0,33,0
Opfer,N,m,10.293792087210022,1.0,4.0,33,0,0
Ferkel,N,m,6.56360702566235,1.0,4.0,33,0,0
Jahrhunderttalent,N,m,1.6850000445356272,1.0,4.0,33,0,0
Wunderkind,N,m,2.0412217417942884,1.0,4.0,33,0,0
Scheusal,N,m,0.8517456606314227,1.0,4.0,33,0,0
Leichtgewicht,N,m,1.8930071556096664,1.0,4.0,33,0,0
Kind,N,m,21.98871227381278,1.0,3.9375,33,0,0
Talent,N,m,1.120052197644327,1.0,4.0,33,0,0
Wesen,N,m,9.300251659478818,1.0,4.0,33,0,0
Unschuldslamm,N,m,20.78306522699131,0.8295454545454546,4.0,30,3,0
Leitung,F,m,2.1428013758377347,1.0,4.0,33,0,0
Führungskraft,F,m,1.5072780023801897,1.0,4.0,33,0,0
Hoheit,F,m,2.1763625000967295,1.0,4.0,33,0,0
Ikone,F,m,4.643382797516097,1.0,4.0,33,0,0
Koryphäe,F,m,1.8631467895284004,1.0,4.0,33,0,0
Vertretung,F,m,1.6277750748340623,1.0,4.0,33,0,0
Klatschbase,F,w,19.218378012830726,1.0,4.0,0,33,0
Haushaltshilfe,F,w,3.5277287292619803,1.0,4.0,0,33,0
Ahne,M,m,2.0679821900957904,1.0,4.0,33,0,0
Gangster,M,m,1.5993731487124023,1.0,4.0,33,0,0
Gast,M,m,2.5980661385874555,1.0,4.0,33,0,0
Geizhals,M,m,1.130669683090673,1.0,4.0,33,0,0
Kauz,M,m,1.1143271559303685,1.0,4.037037037037037,33,0,0
Portier,M,m,1.5959268953611172,1.0,4.0,33,0,0
Zögling,M,m,1.4508444710809272,1.0,4.0,33,0,0
Fratz,M,m,1.627889588027756,1.0,4.0,33,0,0
Mensch,M,m,15.545493149431422,1.0,4.0,33,0,0
Newbie,M,m,1.4822935929241794,1.0,4.0,33,0,0
Influencer,M,m,4.792780223357113,1.0,4.0,33,0,0
Popstar,M,m,19.904601797330542,1.0,4.0,33,0,0
Gegenüber,N/M,m,2.890927565709717,1.0,4.0,33,0,0
Monster,N,m,1.3242596668114857,1.0,4.0,33,0,0
Tier,N,m,2.5924327197499224,1.0,3.9375,33,0,0
Unikum,N,m,2.7877524708783312,1.0,4.0,33,0,0
Laufwunder,N,m,3.244660120217304,1.0,4.0,33,0,0
Schlitzohr,N,m,1.2496664492427954,1.0,4.0,33,0,0
Individuum,N,m,14.23186383357097,1.0,4.0,33,0,0
Nachwuchstalent,N,m,1.9179592574473645,1.0,4.0,33,0,0
Vorbild,N,m,2.281743666051625,1.0,4.0,33,0,0
Mannequin,N,m,10.859823083483207,1.0,3.8181818181818183,33,0,0
Memme,F,m,2.4342747755254095,1.0,4.0,33,0,0
Aushilfe,F,m,4.89310488936826,1.0,3.857142857142857,33,0,0
Majestät,F,m,1.183734053891385,1.0,4.0,33,0,0
Person,F,m,21.369311138492776,1.0,4.0,33,0,0
Waise,F,m,18.501388733377098,1.0,4.0,33,0,0
Bedienung,F,m,7.353759244397224,1.0,3.8,33,0,0
Geisel,F,m,1.8248251885888749,1.0,4.0,33,0,0
Bankier,M,m,1.2012275249799131,1.0,4.0,33,0,0
Feigling,M,m,1.2399661022700457,1.0,3.9696969696969697,33,0,0
Filmstar,M,m,2.4759964246841264,1.0,4.0,33,0,0
Flüchtling,M,m,2.0792329574724135,1.0,3.9696969696969697,33,0,0
Insasse,M,m,2.5449843367277936,1.0,4.0,33,0,0
Lehrling,M,m,1.7144073186791502,1.0,4.0,33,0,0
Neuzugang,M,m,2.064034855367936,1.0,4.0,33,0,0
Fan,M,m,1.4099710695663816,1.0,4.0,33,0,0
Superstar,M,m,1.4529824450401065,1.0,4.0,33,0,0
Teenager,M,m,4.205797240429092,1.0,3.0606060606060606,33,0,0
Rotschopf,M,m,1.4792984692721802,1.0,4.0,33,0,0
Oberhaupt,N,m,1.722428550303448,1.0,4.0,33,0,0
Genie,N,m,1.3513479285775247,1.0,4.0,33,0,0
Aushängeschild,N,m,2.128956971133448,1.0,4.0,33,0,0
Ekel,N,m,1.6969693828323216,1.0,3.9696969696969697,33,0,0
Idol,N,m,3.5620633657345024,1.0,4.0,33,0,0
Lebewesen,N,m,8.080283779854653,1.0,3.9696969696969697,33,0,0
Patenkind,N,m,9.261670918902382,1.0,4.0,33,0,0
Geschöpf,N,m,6.14519509843376,1.0,4.0,33,0,0
Wache,F,m,1.1414927598634677,1.0,4.0,33,0,0
Aushilfskraft,F,m,3.213414633009961,1.0,3.9696969696969697,33,0,0
Hilfskraft,F,m,3.1564030782283226,1.0,4.0,33,0,0
Legende,F,m,2.004097851764527,1.0,4.0,33,0,0
Klatschtante,F,m,9.134203768426232,1.0,4.0,33,0,0
Schnapsdrossel,F,m,1.432816357950287,1.0,4.0,33,0,0
Barkeeper,M,m,0.9967224006049946,1.0,4.0,33,0,0
Beirat,M,m,3.5297012996816193,1.0,4.0,33,0,0
