NP,Genus,ID,Label,Logprobs_Sum,Association,Total_Output
Lehrkraft,F,0,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht unbedingt universell)"
Lehrkraft,F,1,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht unbedingt universell)"
Lehrkraft,F,2,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit einem männlichen Vornamen wie ""Herr Lehrer"" verwendet, was die Assoziation mit einem männlichen Geschlecht verstärkt.

**Strength of association**
4
Die Assoziation mit einem männlichen Geschlecht ist relativ stark, da die traditionelle Vorstellung eines Lehrers noch immer im kollektiven Bewusstsein verankert ist. Allerdings gibt es auch viele weibliche Lehrkräfte, die die Assoziation mit einem männlichen Geschlecht schwächen."
Lehrkraft,F,3,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht unbedingt universell)"
Lehrkraft,F,4,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4
Die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht übermäßig stark, da es auch viele weibliche Lehrkräfte gibt und die Assoziation langsam abnimmt."
Lehrkraft,F,5,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht mehr so stark wie in der Vergangenheit)"
Lehrkraft,F,6,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht unbedingt universell)"
Lehrkraft,F,7,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht unbedingt universell)"
Lehrkraft,F,8,Person männlichen Geschlechts,0.27419561417991645,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort Lehrkraft wird oft in der Bildung und im Bildungsbereich verwendet, wo traditionell Männer eine führende Rolle einnehmen. Zudem wird das Wort Lehrkraft oft mit Berufen wie Professor oder Lehrer in Verbindung gebracht, die in der Vergangenheit eher von Männern ausgeübt wurden. Darüber hinaus gibt es keine starken Assoziationen mit weiblichen Berufen oder Rollen, die das Wort Lehrkraft mit dem weiblichen Geschlecht in Verbindung bringen würden.

**Strength of association**
4

Die Assoziation mit dem männlichen Geschlecht ist in diesem Fall relativ stark, da das Wort Lehrkraft oft mit traditionell männlichen Berufen und Rollen in Verbindung gebracht wird. Es gibt jedoch keine starken Assoziationen mit weiblichen Berufen oder Rollen, die das Wort Lehrkraft mit dem weiblichen Geschlecht in Verbindung bringen würden."
Lehrkraft,F,9,Person männlichen Geschlechts,0.2742692783722305,3,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zudem gibt es auch noch den Begriff ""Lehrer"", der ebenfalls eher mit einem männlichen Personengeschlecht assoziiert wird. Allerdings ist es in der heutigen Zeit nicht ungewöhnlich, dass auch Frauen als Lehrkräfte tätig sind, daher ist die Assoziation nicht absolut.

**Strength of association**
3
Die Assoziation mit einem männlichen Personengeschlecht ist in der heutigen Zeit nicht mehr sehr stark, da Frauen in der Bildung immer mehr an Bedeutung gewinnen. Dennoch bleibt die traditionelle Assoziation mit einem männlichen Lehrer noch vorhanden."
Lehrkraft,F,10,Person männlichen Geschlechts,0.2742692783722305,4,"**Short answer**
Person männlichen Geschlechts

**Reasons**
Das Wort ""Lehrkraft"" wird oft mit einem männlichen Lehrer in Verbindung gebracht, insbesondere wenn man an traditionelle Bildungsinstitutionen wie Schulen oder Universitäten denkt. In der Vergangenheit war es auch üblicherweise ein männlicher Lehrer, der die Klasse leitete. Zwar gibt es auch viele weibliche Lehrkräfte, aber die Assoziation mit einem männlichen Lehrer ist noch immer stärker. Darüber hinaus wird das Wort ""Lehrkraft"" oft in Verbindung mit traditionellen Berufsbezeichnungen wie ""Herr Lehrer"" verwendet, was ebenfalls auf eine männliche Assoziation hinweist.

**Strength of association**
4 (die Assoziation mit einem männlichen Lehrer ist noch immer stark, aber nicht mehr so stark wie in der Vergangenheit)"
