np,genus,maj_vote,logprobs,agreement,assoc_strength_mean,m,w,n
Lehrkraft,F,n,-5.491073461503761,1.0,0.0,0,0,33
Autorität,F,m,-13.5556246689412,0.5075757575757576,2.3636363636363638,20,0,13
Hauptfigur,F,n,-0.48990860724586,1.0,0.0,0,0,33
Berühmtheit,F,n,-0.21280553296760998,1.0,0.0,0,0,33
Fachkraft,F,n,-0.23322835540006,1.0,0.0,0,0,33
Kultfigur,F,n,-1.6442885076673601,1.0,0.0,0,0,33
Begleitung,F,n,-0.8376528945166598,1.0,0.0,0,0,33
Assistenz,F,w,-2.0115396872526596,1.0,3.9696969696969697,0,33,0
Diva,F,w,-0.0055499249345399996,1.0,4.606060606060606,0,33,0
Boss,M,m,-0.0060845828535900015,1.0,3.9696969696969697,33,0,0
Fuchs,M,m,-0.014766111120399997,1.0,3.8181818181818183,33,0,0
Jockey,M,m,-0.00438020800959,1.0,4.0,33,0,0
Junkie,M,m,-6.97453699199297,0.9393939393939394,3.6666666666666665,32,0,1
Racker,M,m,-0.003973991266849999,1.0,4.0,33,0,0
Spaßvogel,M,m,-0.008076733881119999,1.0,3.0,33,0,0
Vormund,M,m,-0.15655546062746,1.0,3.757575757575758,33,0,0
Vorstand,M,m,-0.0036633355024399995,1.0,4.090909090909091,33,0,0
Passagier,M,m,-4.56947217324445,1.0,2.787878787878788,33,0,0
Schatz,M,n,-5.140461618787301,1.0,0.0,0,0,33
Star,M,n,-0.8682945019118798,1.0,0.0,0,0,33
Babysitter,M,w,-0.01963438334875,1.0,4.0,0,33,0
Trotzkopf,M,w,-5.8611017939147,1.0,4.03030303030303,0,33,0
Mündel,N/M/F,n,-0.6168567802803001,1.0,0.0,0,0,33
Balg,N/M,n,-1.15265891268777,1.0,0.0,0,0,33
Nesthäkchen,N,w,-0.18328143481127,1.0,3.6666666666666665,0,33,0
Opfer,N,n,-0.6552394456086,1.0,0.0,0,0,33
Ferkel,N,n,-1.6662210886207196,1.0,0.0,0,0,33
Jahrhunderttalent,N,n,-9.978319275774332,0.8825757575757577,0.21212121212121213,2,0,31
Wunderkind,N,n,-10.327306281177309,1.0,0.0,0,0,33
Scheusal,N,n,-9.06194622479906,0.8295454545454546,0.2727272727272727,3,0,30
Leichtgewicht,N,n,-0.96730741369515,1.0,0.0,0,0,33
Kind,N,n,-0.13160492216775999,1.0,0.0,0,0,33
Talent,N,n,-0.09990555254872001,1.0,0.0,0,0,33
Wesen,N,n,-0.13623779084361,1.0,0.0,0,0,33
Unschuldslamm,N,n,-3.6951155755980407,1.0,0.0,0,0,33
Leitung,F,n,-20.653944790852194,0.7348484848484849,0.48484848484848486,5,0,28
Führungskraft,F,n,-16.073709346832402,0.5075757575757576,1.5757575757575757,13,0,20
Hoheit,F,w,-17.13318242742001,0.8295454545454546,2.757575757575758,0,30,3
Ikone,F,w,-9.2574601319811,0.8825757575757577,3.757575757575758,0,31,2
Koryphäe,F,n,-0.38969147992054,1.0,0.0,0,0,33
Vertretung,F,n,-0.5738188420796599,1.0,0.0,0,0,33
Klatschbase,F,w,-0.00356554951732,1.0,4.0,0,33,0
Haushaltshilfe,F,w,-0.004044342428759999,1.0,4.0,0,33,0
Ahne,M,m,-22.318024542007507,0.5643939393939394,3.727272727272727,23,10,0
Gangster,M,m,-0.0028952292830399995,1.0,4.757575757575758,33,0,0
Gast,M,n,-2.86471898282473,1.0,0.0,0,0,33
Geizhals,M,m,-0.00254849885679,1.0,4.0,33,0,0
Kauz,M,m,-0.0031133316523200005,1.0,4.0,33,0,0
Portier,M,m,-0.005751083192479999,1.0,4.0,33,0,0
Zögling,M,n,-12.27494966060569,0.9393939393939394,0.09090909090909091,1,0,32
Fratz,M,n,-0.8747807705002599,1.0,0.0,0,0,33
Mensch,M,n,-0.3985146799813698,1.0,0.0,0,0,33
Newbie,M,n,-0.22195285407942003,1.0,0.0,0,0,33
Influencer,M,n,-13.10654524140326,0.6931818181818182,0.7272727272727273,0,6,27
Popstar,M,n,-0.6170201830298698,1.0,0.0,0,0,33
Gegenüber,N/M,n,-0.7238528644095199,1.0,0.0,0,0,33
Monster,N,m,-11.30317113130896,0.7803030303030303,3.1515151515151514,29,0,4
Tier,N,n,-1.7943199727507597,1.0,0.0,0,0,33
Unikum,N,n,-3.1798874420968697,1.0,0.0,0,0,33
Laufwunder,N,n,-7.0214902272872415,1.0,0.0,0,0,33
Schlitzohr,N,m,-0.0039619590869400005,1.0,4.0,33,0,0
Individuum,N,n,-0.04926014786708,1.0,0.0,0,0,33
Nachwuchstalent,N,n,-0.5770789213237201,1.0,0.0,0,0,33
Vorbild,N,n,-0.10361422209295003,1.0,0.0,0,0,33
Mannequin,N,w,-0.00554667275825,1.0,4.0,0,33,0
Memme,F,m,-0.31520522592352995,1.0,4.0,33,0,0
Aushilfe,F,n,-0.3480818823084701,1.0,0.0,0,0,33
Majestät,F,n,-6.67191553911332,1.0,0.0,0,0,33
Person,F,n,-0.20155823968540998,1.0,0.0,0,0,33
Waise,F,n,-0.14976897983677998,1.0,0.0,0,0,33
Bedienung,F,w,-0.0137781624228,1.0,4.0,0,33,0
Geisel,F,n,-0.22858085971091996,1.0,0.0,0,0,33
Bankier,M,m,-0.003619325482750001,1.0,4.0,33,0,0
Feigling,M,n,-14.669767208121103,0.48484848484848486,1.5757575757575757,16,0,17
Filmstar,M,n,-4.28690061302394,1.0,0.0,0,0,33
Flüchtling,M,m,-0.40281190296189,1.0,3.5757575757575757,33,0,0
Insasse,M,m,-0.6311345769626698,1.0,4.0,33,0,0
Lehrling,M,m,-4.16065821692868,1.0,3.0,33,0,0
Neuzugang,M,n,-0.60200722563228,1.0,0.0,0,0,33
Fan,M,n,-0.40109207659639995,1.0,0.0,0,0,33
Superstar,M,n,-1.10661236299219,1.0,0.0,0,0,33
Teenager,M,n,-0.23279406139153003,1.0,0.0,0,0,33
Rotschopf,M,n,-0.33442499010340004,1.0,0.0,0,0,33
Oberhaupt,N,m,-0.005910212988560001,1.0,4.0,33,0,0
Genie,N,m,-0.035905329148820005,1.0,4.0,33,0,0
Aushängeschild,N,n,-1.14663291098699,1.0,0.0,0,0,33
Ekel,N,n,-0.48078196145135993,1.0,0.0,0,0,33
Idol,N,n,-0.37106537597924005,1.0,0.0,0,0,33
Lebewesen,N,n,-0.18245530384416003,1.0,0.0,0,0,33
Patenkind,N,n,-0.11218998316736001,1.0,0.0,0,0,33
Geschöpf,N,n,-0.23188299772466,1.0,0.0,0,0,33
Wache,F,m,-15.580436429538828,0.48863636363636365,2.121212121212121,18,0,15
Aushilfskraft,F,n,-0.2722356515184599,1.0,0.0,0,0,33
Hilfskraft,F,n,-0.29570165666938,1.0,0.0,0,0,33
Legende,F,n,-6.830903427026219,1.0,0.0,0,0,33
Klatschtante,F,w,-0.00218989574647,1.0,5.0,0,33,0
Schnapsdrossel,F,w,-23.373034349070924,0.5227272727272727,3.515151515151515,12,21,0
Barkeeper,M,m,-0.004334582310920001,1.0,4.0,33,0,0
Beirat,M,m,-0.08256288432073,1.0,3.9393939393939394,33,0,0
Blödian,M,m,-0.00258423062467,1.0,4.0,33,0,0
Clown,M,m,-0.006093832401249999,1.0,4.0,33,0,0
Freak,M,m,-9.34186414523024,0.9393939393939394,2.909090909090909,32,0,1
Nerd,M,m,-0.004371450408029999,1.0,4.0,33,0,0
Snob,M,n,-11.28957527561667,0.8295454545454546,0.2727272727272727,3,0,30
Azubi,M,n,-0.7039347386727299,1.0,0.0,0,0,33
Hippie,M,n,-0.19949747816414004,1.0,0.0,0,0,33
Laie,M,n,-17.09196955854979,0.5416666666666666,1.0,11,0,22
Urahne,M,w,-0.8166296563188499,1.0,4.151515151515151,0,33,0
Ausnahmetalent,N,n,-1.3706820796781003,1.0,0.0,0,0,33
Original,N,n,-2.0246251065068104,1.0,0.0,0,0,33
Phänomen,N,n,-1.65239814967609,1.0,0.0,0,0,33
Glückskind,N,n,-0.7895320256404997,1.0,0.0,0,0,33
Gör,N,w,-1.5176836971176997,0.7348484848484849,2.606060606060606,0,28,5
Mitglied,N,n,-0.12725652818614,1.0,0.0,0,0,33
Tennis-Ass,N,n,-6.4599630290908205,1.0,0.0,0,0,33
Model,N,w,-0.7828905847033202,1.0,4.0,0,33,0
