"","np","m_prolific","w_prolific","n_prolific","agreement_prolific","maj_vote_prolific","m_gpt4o","w_gpt4o","n_gpt4o","maj_vote_gpt4o","agreement_gpt4o","m_llama_3.1_70B","w_llama_3.1_70B","n_llama_3.1_70B","maj_vote_llama_3.1_70B","agreement_llama_3.1_70B","m_llama_3.1_8B","w_llama_3.1_8B","n_llama_3.1_8B","maj_vote_llama_3.1_8B","agreement_llama_3.1_8B"
"1","Ahne",16,3,14,0.40530303030303,"m",23,10,0,"m",0.56439393939394,33,0,0,"m",1,33,0,0,"m",1
"2","Assistenz",2,18,13,0.439393939393939,"f",0,33,0,"f",1,0,33,0,"f",1,33,0,0,"m",1
"3","Aushängeschild",3,2,28,0.723484848484849,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"4","Aushilfe",3,7,23,0.524621212121212,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"5","Aushilfskraft",0,9,24,0.590909090909091,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"6","Ausnahmetalent",4,2,27,0.678030303030303,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"7","Autorität",19,0,14,0.496212121212121,"m",20,0,13,"m",0.507575757575758,33,0,0,"m",1,33,0,0,"m",1
"8","Azubi",12,0,21,0.522727272727273,"n",0,0,33,"n",1,33,0,0,"m",1,33,0,0,"m",1
"9","Babysitter",3,28,2,0.723484848484849,"f",0,33,0,"f",1,0,33,0,"f",1,0,33,0,"f",1
"10","Balg",11,2,20,0.465909090909091,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"11","Bankier",30,1,2,0.825757575757576,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"12","Barkeeper",32,0,1,0.93939393939394,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"13","Bedienung",1,19,13,0.471590909090909,"f",0,33,0,"f",1,0,33,0,"f",1,33,0,0,"m",1
"14","Begleitung",2,17,14,0.431818181818182,"f",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"15","Beirat",13,1,19,0.471590909090909,"n",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"16","Berühmtheit",2,7,24,0.56439393939394,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"17","Blödian",32,0,1,0.93939393939394,"m",33,0,0,"m",1,0,0,33,"n",1,33,0,0,"m",1
"18","Boss",25,1,7,0.607954545454546,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"19","Clown",31,0,2,0.882575757575758,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"20","Diva",0,31,2,0.882575757575758,"f",0,33,0,"f",1,0,33,0,"f",1,0,33,0,"f",1
"21","Ekel",11,3,19,0.433712121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"22","Fachkraft",8,3,22,0.496212121212121,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"23","Fan",8,5,20,0.431818181818182,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"24","Feigling",24,0,9,0.590909090909091,"m",16,0,17,"n",0.484848484848485,33,0,0,"m",1,33,0,0,"m",1
"25","Ferkel",15,1,17,0.456439393939394,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"26","Filmstar",9,4,20,0.439393939393939,"n",0,0,33,"n",1,0,2,31,"n",0.882575757575758,33,0,0,"m",1
"27","Flüchtling",21,0,12,0.522727272727273,"m",33,0,0,"m",1,0,0,33,"n",1,33,0,0,"m",1
"28","Fratz",21,1,11,0.501893939393939,"m",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"29","Freak",28,1,4,0.727272727272727,"m",32,0,1,"m",0.93939393939394,33,0,0,"m",1,33,0,0,"m",1
"30","Fuchs",19,1,13,0.471590909090909,"m",33,0,0,"m",1,0,0,33,"n",1,33,0,0,"m",1
"31","Führungskraft",15,2,16,0.428030303030303,"n",13,0,20,"n",0.507575757575758,33,0,0,"m",1,33,0,0,"m",1
"32","Gangster",33,0,0,1,"m",33,0,0,"m",1,33,0,0,"m",1,33,0,0,"m",1
"33","Gast",5,0,28,0.734848484848485,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
"34","Gegenüber",1,0,32,0.93939393939394,"n",0,0,33,"n",1,0,0,33,"n",1,33,0,0,"m",1
