"lfdn","tester","dispcode","loop","loopnumber","le_nr","le_text","L1_MFN","L2_MFN","L3_MFN","L4_MFN","L2_AssoziationSkala","L1_AssoziationSkala","L3_AssoziationSkala","L4_AssoziationSkala","duration","lastaccs","frstmail","Liste","MFN","Assoziation"
753,0,31,7579889,1,26,"Freak",-77,1,-77,-77,4,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",4
753,0,31,7579889,2,20,"Fan",-77,1,-77,-77,4,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",4
753,0,31,7579889,3,22,"Patenkind",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,4,16,"Person",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,5,14,"Vorbild",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,6,24,"Wache",-77,1,-77,-77,3,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",3
753,0,31,7579889,7,25,"Klatschtante",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,8,21,"Teenager",-77,1,-77,-77,2,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",2
753,0,31,7579889,9,18,"Bankier",-77,1,-77,-77,4,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",4
753,0,31,7579889,10,17,"Waise",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,11,29,"Phänomen",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,12,11,"Gangster",-77,1,-77,-77,4,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",4
753,0,31,7579889,13,15,"Mannequin",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,14,3,"Vorstand",-77,1,-77,-77,1,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",1
753,0,31,7579889,15,8,"Leitung",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,16,19,"Filmstar",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,17,27,"Urahne",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,18,12,"Zögling",-77,1,-77,-77,1,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"m",1
753,0,31,7579889,19,5,"Mündel",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,20,13,"Influencer",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,21,1,"Begleitung",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,22,6,"Leichtgewicht",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,23,7,"Talent",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,24,28,"Original",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,25,4,"Passagier",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,26,2,"Jockey",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,27,9,"Führungskraft",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
753,0,31,7579889,28,10,"Haushaltshilfe",-77,2,-77,-77,4,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"w",4
753,0,31,7579889,29,23,"Geschöpf",-77,3,-77,-77,-77,-77,-77,-77,229,"2025-04-08 10:34:25","0000-00-00 00:00:00",2,"n",NA
756,0,31,7579893,1,13,"Koryphäe",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,2,27,"Azubi",-77,-77,1,-77,-77,-77,4,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",4
756,0,31,7579893,3,15,"Portier",-77,-77,1,-77,-77,-77,4,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",4
756,0,31,7579893,4,9,"Nesthäkchen",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,5,17,"Tier",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,6,18,"Unikum",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,7,7,"Trotzkopf",-77,-77,1,-77,-77,-77,5,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",5
756,0,31,7579893,8,29,"Ausnahmetalent",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,9,28,"Laie",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,10,24,"Idol",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,11,23,"Aushängeschild",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,12,1,"Lehrkraft",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,13,6,"Vormund",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,14,14,"Ahne",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,15,19,"Memme",-77,-77,1,-77,-77,-77,3,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",3
756,0,31,7579893,16,3,"Diva",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,17,10,"Opfer",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,18,12,"Unschuldslamm",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,19,16,"Popstar",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,20,21,"Feigling",-77,-77,1,-77,-77,-77,4,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",4
756,0,31,7579893,21,22,"Rotschopf",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,22,20,"Aushilfe",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,23,26,"Barkeeper",-77,-77,1,-77,-77,-77,3,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",3
756,0,31,7579893,24,8,"Balg",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,25,25,"Schnapsdrossel",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,26,2,"Berühmtheit",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,27,5,"Spaßvogel",-77,-77,1,-77,-77,-77,4,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"m",4
756,0,31,7579893,28,4,"Racker",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
756,0,31,7579893,29,11,"Kind",-77,-77,3,-77,-77,-77,-77,-77,226,"2025-04-08 10:39:03","0000-00-00 00:00:00",3,"n",NA
754,0,31,7579900,1,25,"Blödian",-77,-77,-77,1,-77,-77,-77,5,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",5
754,0,31,7579900,2,2,"Boss",-77,-77,-77,1,-77,-77,-77,3,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",3
754,0,31,7579900,3,27,"Glückskind",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,4,23,"Legende",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,5,9,"Kauz",-77,-77,-77,1,-77,-77,-77,2,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"m",2
754,0,31,7579900,6,16,"Bedienung",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,7,1,"Kultfigur",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,8,5,"Ferkel",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,9,20,"Genie",-77,-77,-77,3,-77,-77,-77,-77,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"n",NA
754,0,31,7579900,10,28,"Gör",-77,-77,-77,2,-77,-77,-77,5,326,"2025-04-08 10:40:02","0000-00-00 00:00:00",4,"w",5
