NP,Genus,ID,Label,Logprobs_Sum,Association,Total_Output
Lehrkraft,F,0,keins von beiden,-0.5632394347521767,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten eingesetzt, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Die Neutralität des Wortes liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
Lehrkraft,F,1,keins von beiden,-0.35093300769767666,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. Es gibt keine spezifischen Assoziationen oder Konnotationen, die das Wort eher mit einem Geschlecht verbinden. Im Bildungswesen wird der Begriff ""Lehrkraft"" oft verwendet, um auf die Person zu verweisen, die die Rolle eines Lehrers oder einer Lehrerin ausübt, unabhängig von ihrem Geschlecht.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu bewerten."
Lehrkraft,F,2,keins von beiden,-0.44038447837738204,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten verwendet, um auf die Person zu verweisen, die Unterricht erteilt, unabhängig von ihrem Geschlecht. Die Neutralität des Wortes liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
Lehrkraft,F,3,keins von beiden,-0.44038447837738204,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten verwendet, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Es gibt keine spezifischen kulturellen oder sprachlichen Assoziationen, die ""Lehrkraft"" stärker mit einem Geschlecht verbinden würden.

## Stärke der Assoziation
Da ""Lehrkraft"" als geschlechtsneutral betrachtet wird, ist eine Bewertung der Stärke der Assoziation nicht erforderlich."
Lehrkraft,F,4,keins von beiden,-0.35093300769767666,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. Es gibt keine spezifischen Assoziationen oder Konnotationen, die das Wort eher mit einem Geschlecht verbinden. Im Bildungswesen werden sowohl Männer als auch Frauen als Lehrkräfte tätig, und der Begriff selbst macht keine Unterschiede zwischen den Geschlechtern.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist eine Bewertung der Stärke der Assoziation nicht erforderlich."
Lehrkraft,F,5,keins von beiden,-0.5632394347521767,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten eingesetzt, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Die Neutralität des Wortes liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
Lehrkraft,F,6,keins von beiden,-0.5063857147742965,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in einem geschlechtsneutralen Kontext eingesetzt, um auf die berufliche Funktion und nicht auf das Geschlecht der Person abzustellen. Es gibt keine spezifischen kulturellen oder sozialen Assoziationen, die ""Lehrkraft"" eindeutig mit einem bestimmten Geschlecht verbinden.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" als geschlechtsneutral betrachtet wird, ist keine Bewertung der Stärke der Assoziation erforderlich."
Lehrkraft,F,7,keins von beiden,-0.44038447837738204,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten verwendet, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Die Neutralität des Wortes liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
Lehrkraft,F,8,keins von beiden,-0.44038316710066283,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten verwendet, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Die Neutralität des Begriffs liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
Lehrkraft,F,9,keins von beiden,-0.44038447837738204,0,"## Kurzantwort
Keins von beiden

## Gründe
Das Wort ""Lehrkraft"" ist ein geschlechtsneutraler Begriff, der sowohl für männliche als auch für weibliche Lehrer verwendet wird. In Deutschland und anderen deutschsprachigen Ländern wird dieser Begriff oft in offiziellen und beruflichen Kontexten verwendet, um auf die Person zu verweisen, die eine Lehrtätigkeit ausübt, unabhängig von ihrem Geschlecht. Die Neutralität des Wortes liegt in seiner Konstruktion, die keine spezifische Geschlechtszuweisung impliziert.

## Stärke der Assoziation
Da das Wort ""Lehrkraft"" geschlechtsneutral ist, ist keine Stärke der Assoziation zu einem bestimmten Geschlecht zu bewerten."
