"np","GPT-4o","LlaMA_70B","LlaMA_8B"
"Ahne",17.1464281994822,22.2261107708929,22.2261107708929
"Assistenz",19.94993734326,19.94993734326,38.1313519298752
"Aushängeschild",6.16441400296898,6.16441400296898,41.0852771683483
"Aushilfe",12.5698050899765,12.5698050899765,38.4447655734822
"Aushilfskraft",12.7279220613579,12.7279220613579,41.7851648315524
"Ausnahmetalent",7.48331477354788,7.48331477354788,39.6736688497547
"Autorität",1.4142135623731,19.7989898732233,19.7989898732233
"Azubi",16.9705627484771,29.698484809835,29.698484809835
"Babysitter",6.16441400296898,6.16441400296898,6.16441400296898
"Balg",17.1464281994822,17.1464281994822,29.7993288515027
"Bankier",3.74165738677394,3.74165738677394,3.74165738677394
"Barkeeper",1.4142135623731,1.4142135623731,1.4142135623731
"Bedienung",19.131126469709,19.131126469709,39.420806688854
"Begleitung",25.5734237050888,25.5734237050888,38.0263066836631
"Beirat",27.6043474836845,27.6043474836845,27.6043474836845
"Berühmtheit",11.5758369027902,11.5758369027902,39.8246155034798
"Blödian",1.4142135623731,45.254833995939,1.4142135623731
"Boss",10.6770782520313,10.6770782520313,10.6770782520313
"Clown",2.82842712474619,2.82842712474619,2.82842712474619
"Diva",2.82842712474619,2.82842712474619,2.82842712474619
"Ekel",18.0554700852678,18.0554700852678,29.2232783924049
"Fachkraft",13.9283882771841,13.9283882771841,33.436506994601
"Fan",16.062378404209,16.062378404209,32.4037034920393
"Feigling",11.3137084989848,12.7279220613579,12.7279220613579
"Ferkel",21.9544984001001,21.9544984001001,24.7790233867277
"Filmstar",16.3095064303001,14.3527000944073,31.4960314960472
"Flüchtling",16.9705627484771,29.698484809835,16.9705627484771
"Fratz",30.4302481094059,30.4302481094059,16.3095064303001
"Freak",5.09901951359278,6.48074069840786,6.48074069840786
"Fuchs",19.131126469709,27.6043474836845,19.131126469709
"Führungskraft",4.89897948556636,24.1660919471891,24.1660919471891
"Gangster",0,0,0
"Gast",7.07106781186548,7.07106781186548,39.5979797464467
"Gegenüber",1.4142135623731,1.4142135623731,45.254833995939
"Geisel",7.87400787401181,7.87400787401181,42.166337284616
"Geizhals",9.89949493661167,9.89949493661167,9.89949493661167
"Genie",25.4558441227157,25.4558441227157,25.4558441227157
"Geschöpf",16.3095064303001,16.3095064303001,36.3593179253957
"Glückskind",2.44948974278318,2.44948974278318,44.5645599103144
"Gör",2.82842712474619,9.89949493661167,42.5910788780937
"Hauptfigur",9.2736184954957,9.2736184954957,37.4966665185054
"Haushaltshilfe",2.82842712474619,2.82842712474619,2.82842712474619
"Hilfskraft",19.0262975904404,19.0262975904404,35.8608421540822
"Hippie",17.7200451466693,17.7200451466693,29.0172362570938
"Hoheit",30.8220700148449,22.7596133534821,22.7596133534821
"Idol",16.3095064303001,16.3095064303001,31.4960314960472
"Ikone",21.7715410570772,23.1516738055805,35.5246393366632
"Individuum",4.24264068711928,4.24264068711928,42.4264068711929
"Influencer",13.6381816969859,25.9229627936314,35.5808937493144
"Insasse",2.82842712474619,43.8406204335659,2.82842712474619
"Jahrhunderttalent",12.0830459735946,31.8433666561813,31.8433666561813
"Jockey",2.82842712474619,2.82842712474619,2.82842712474619
"Junkie",11.3137084989848,12.7279220613579,12.7279220613579
"Kauz",7.07106781186548,24.0416305603426,7.07106781186548
"Kind",3.74165738677394,3.74165738677394,43.1508980207828
"Klatschbase",21.2132034355964,21.2132034355964,21.2132034355964
"Klatschtante",1.4142135623731,1.4142135623731,45.9782557302906
"Koryphäe",19.6468827043885,30.232432915662,30.232432915662
"Kultfigur",15.7480157480236,15.7480157480236,31.2089730686545
"Laie",9.2736184954957,24.7790233867277,21.9544984001001
"Laufwunder",16.9705627484771,4.24264068711928,29.698484809835
"Lebewesen",0,0,46.6690475583121
"Legende",21.9544984001001,24.7790233867277,24.7790233867277
"Lehrkraft",15.2970585407784,15.2970585407784,37.7094152699296
"Lehrling",12.7279220613579,12.7279220613579,12.7279220613579
"Leichtgewicht",24.5356882927706,23.3666428910958,29.4278779391243
"Leitung",18.0554700852678,20.8326666559997,22.2261107708929
"Majestät",25.1396101799531,23.7907545067406,23.7907545067406
"Mannequin",24.6576560118759,24.6576560118759,30.6267856622271
"Memme",12.0830459735946,12.0830459735946,12.0830459735946
"Mensch",5.65685424949238,5.65685424949238,41.0121933088198
"Mitglied",5.65685424949238,5.65685424949238,41.0121933088198
"Model",6.48074069840786,6.48074069840786,42.7083130081252
"Monster",16.9705627484771,24.0416305603426,22.6274169979695
"Mündel",13.9283882771841,13.9283882771841,33.436506994601
"Nachwuchstalent",6.16441400296898,6.16441400296898,41.8807831827438
"Nerd",1.4142135623731,1.4142135623731,1.4142135623731
"Nesthäkchen",28.2488937836511,28.2488937836511,28.2488937836511
"Neuzugang",11.3137084989848,11.3137084989848,35.3553390593274
"Newbie",18.0554700852678,18.0554700852678,29.2232783924049
"Oberhaupt",12.7279220613579,12.7279220613579,12.7279220613579
"Opfer",10.1980390271856,10.1980390271856,36.8510515453766
"Original",2.82842712474619,2.82842712474619,43.8406204335659
"Passagier",21.9544984001001,24.7790233867277,21.9544984001001
"Patenkind",6.48074069840786,6.48074069840786,40.3236903073119
"Person",3.74165738677394,3.74165738677394,43.1508980207828
"Phänomen",2.82842712474619,2.82842712474619,43.8406204335659
"Popstar",17.1464281994822,17.1464281994822,38.4967531098403
"Portier",1.4142135623731,1.4142135623731,1.4142135623731
"Racker",2.82842712474619,2.82842712474619,2.82842712474619
"Rotschopf",20.3960780543711,27.3130005674953,35.6931365951495
"Schatz",15.556349186104,15.556349186104,41.1582312545134
"Scheusal",20.0499376557634,24.1246761636296,24.1246761636296
"Schlitzohr",13.490737563232,13.490737563232,13.490737563232
"Schnapsdrossel",16.3095064303001,24.5356882927706,24.5356882927706
"Snob",32.5269119345812,15.556349186104,9.89949493661167
"Spaßvogel",7.07106781186548,7.07106781186548,7.07106781186548
"Star",4.89897948556636,4.89897948556636,42.4970587217516
"Superstar",16.062378404209,16.062378404209,35.3270434653114
"Talent",6.16441400296898,6.16441400296898,41.0852771683483
"Teenager",19.6468827043885,19.6468827043885,30.232432915662
"Tennis-Ass",12.9614813968157,34.0293990543471,34.0293990543471
"Tier",11.5758369027902,11.5758369027902,35.4400902933387
"Trotzkopf",39.293765408777,26.1916017074176,20.5426385841741
"Unikum",3.74165738677394,3.74165738677394,43.1508980207828
"Unschuldslamm",12.5698050899765,12.5698050899765,35.6931365951495
